src_FID,nbr_FID
0,60
0,55
1,59
1,37
2,51
2,44
3,53
3,50
3,17
4,16
4,50
4,53
5,48
5,57
6,46
6,49
7,45
7,42
7,34
8,43
8,38
9,28
9,32
9,30
10,31
10,65
11,26
11,29
12,62
12,27
26,62
27,29
28,24
28,26
29,22
29,32
29,30
30,23
30,65
31,22
31,32
31,28
32,47
32,35
32,40
33,28
33,22
33,30
34,40
34,33
34,47
35,20
35,42
35,45
36,14
36,59
37,39
37,41
38,36
38,41
39,21
39,43
40,36
40,39
41,35
41,47
41,33
42,21
42,38
43,34
43,20
43,45
44,20
44,42
44,34
45,15
45,51
46,35
46,40
46,33
47,19
47,49
48,19
48,46
49,18
49,57
50,15
50,44
51,16
51,17
51,53
52,17
52,50
52,16
53,54
53,56
54,13
54,60
55,52
55,56
56,18
56,48
57,54
57,52
58,14
58,37
61,13
61,55
63,25
63,27
64,23
64,31