station,index
in_2002,0
in_2005,1
in_2007,2
in_2008,3
in_2009,4
in_2011,5
in_2012,6
in_101001,7
in_101007,8
in_102004,9
in_102005,10
in_106006,11
in_106007,12
out_2002,13
out_2005,14
out_2007,15
out_2008,16
out_2009,17
out_2011,18
out_2012,19
out_101001,20
out_101007,21
out_102004,22
out_102005,23
out_106006,24
out_106007,25
780069,26
79006A,27
780067,28
790068,29
78007D,30
79007E,31
79007C,32
78007B,33
780079,34
79007A,35
780021,36
790022,37
78001F,38
790020,39
780063,40
790064,41
78001D,42
79001E,43
78001B,44
79001C,45
780061,46
790062,47
78005F,48
790060,49
780019,50
79001A,51
780013,52
790014,53
790012,54
780011,55
78005D,56
79005E,57
790024,58
780023,59
790010,60
78000F,61
78006B,62
79006C,63
790080,64
78007F,65